"Région de Bruxelles";"Nom français";"Nom néerlandais";"Type";"Province";"Superficie (km²)";"Population (2008)";"Densité (hab./km²)";"Sections";"Carte"
"Région wallonne";"Burdinne";"Burdinne";"Commune";"Liège";"32,57";"2 895";89;"Burdinne, Hannêche, Lamontzée, Marneffe, Oteppe";
"Région wallonne";"Burg-Reuland";"Burg-Reuland";"Commune";"Liège";"108,96";"3 948";36;"Reuland, Thommen";
"Région wallonne";"Butgenbach";"Bütgenbach";"Commune";"Liège";"97,31";"5 610";58;"Butgenbach, Elsenborn";
"Région wallonne";"Celles";"Celles";"Commune";"Hainaut";"67,14";"5 452";81;"Celles, Escanaffles, Molenbaix, Popuelles, Pottes, Velaines";
"Région wallonne";"Cerfontaine";"Cerfontaine";"Commune";"Namur";"83,45";"4 624";55;"Cerfontaine, Daussois, Senzeille, Silenrieux, Soumoy, Villers-Deux-Églises";
"Région wallonne";"Chapelle-lez-Herlaimont";"Chapelle-lez-Herlaimont";"Commune";"Hainaut";"18,1";"14 164";783;"Chapelle-lez-Herlaimont, Godarville, Piéton";
"Région wallonne";"Charleroi";"Charleroi";"Ville";"Hainaut";"102,08";"201 593";"1 975";"Charleroi, Couillet, Dampremy, Gilly, Gosselies, Goutroux, Jumet, Lodelinsart, Marchienne-au-Pont, Marcinelle, Monceau-sur-Sambre, Montignies-sur-Sambre, Mont-sur-Marchienne, Ransart, Roux";
"Région wallonne";"Chastre";"Chastre";"Commune";"Brabant wallon";"31,27";"6 891";220;"Chastre-Villeroux-Blanmont, Cortil-Noirmont, Gentinnes, Saint-Géry";
"Région wallonne";"Châtelet";"Châtelet";"Ville";"Hainaut";"27,03";"35 755";"1 323";"Bouffioulx, Châtelet, Châtelineau";
"Région wallonne";"Chaudfontaine";"Chaudfontaine";"Commune";"Liège";"25,52";"20 940";821;"Beaufays, Chaudfontaine, Embourg, Vaux-sous-Chèvremont";
"Région wallonne";"Chaumont-Gistoux";"Chaumont-Gistoux";"Commune";"Brabant wallon";"48,09";"11 155";232;"Bonlez, Chaumont-Gistoux, Corroy-le-Grand, Dion-Valmont, Longueville";
"Région wallonne";"Chièvres";"Chièvres";"Ville";"Hainaut";"46,91";"6 408";137;"Chièvres, Grosage, Huissignies, Ladeuze, Tongre-Notre-Dame, Tongre-Saint-Martin";
"Région wallonne";"Chimay";"Chimay";"Ville";"Hainaut";"197,1";"9 944";50;"Baileux, Bailièvre, Bourlers, Chimay, Forges, L'Escaillère, Lompret, Rièzes, Robechies, Saint-Remy, Salles, Vaulx, Villers-la-Tour, Virelles";
"Région wallonne";"Chiny";"Chiny";"Ville";"Luxembourg";"113,69";"5 122";45;"Chiny, Izel, Jamoigne, Les Bulles, Suxy, Termes";
"Région wallonne";"Ciney";"Ciney";"Ville";"Namur";"147,56";"15 317";104;"Achêne, Braibant, Chevetogne, Ciney, Conneux, Leignon, Pessoux, Serinchamps, Sovet";
"Région wallonne";"Clavier";"Clavier";"Commune";"Liège";"79,12";"4 266";54;"Bois-et-Borsu, Clavier, Les Avins, Ocquier, Pailhe, Terwagne";
"Région wallonne";"Colfontaine";"Colfontaine";"Commune";"Hainaut";"13,62";"20 044";"1 472";"Pâturages, Warquignies, Wasmes";
"Région wallonne";"Comblain-au-Pont";"Comblain-au-Pont";"Commune";"Liège";"22,68";"5 401";238;"Comblain-au-Pont, Poulseur";
"Région wallonne";"Comines-Warneton";"Komen-Waasten";"Ville";"Hainaut";"61,09";"17 651";289;"Bas-Warneton, Comines, Houthem, Ploegsteert, Warneton";
"Région wallonne";"Courcelles";"Courcelles";"Commune";"Hainaut";"48,04";"30 034";625;"Courcelles, Gouy-lez-Piéton, Souvret, Trazegnies";
"Région wallonne";"Court-Saint-Étienne";"Court-Saint-Etienne";"Commune";"Brabant wallon";"26,64";"9 607";361;"Court-Saint-Étienne";
"Région wallonne";"Couvin";"Couvin";"Ville";"Namur";"206,93";"13 576";66;"Aublain, Boussu-en-Fagne, Le Brûly, Brûly-de-Pesche, Couvin, Cul-des-Sarts, Dailly, Frasnes-lez-Couvin, Gonrieux, Mariembourg, Pesche, Petigny, Petite-Chapelle, Presgaux";
"Région wallonne";"Crisnée";"Crisnée";"Commune";"Liège";"16,83";"2 906";173;"Crisnée, Fize-le-Marsal, Kemexhe, Odeur, Thys";
"Région wallonne";"Dalhem";"Dalhem";"Commune";"Liège";"36,06";"6 647";184;"Berneau, Bombaye, Dalhem, Feneur, Mortroux, Neufchâteau, Saint-André, Warsage";
"Région wallonne";"Daverdisse";"Daverdisse";"Commune";"Luxembourg";"56,4";"1 366";24;"Daverdisse, Gembes, Haut-Fays, Porcheresse";
"Région wallonne";"Dinant";"Dinant";"Ville";"Namur";"99,8";"13 186";132;"Anseremme, Bouvignes-sur-Meuse, Dinant, Dréhance, Falmagne, Falmignoul, Foy-Notre-Dame, Furfooz, Lisogne, Sorinnes, Thynes";
"Région wallonne";"Dison";"Dison";"Commune";"Liège";"14,01";"14 527";"1 037";"Andrimont, Dison";
"Région wallonne";"Doische";"Doische";"Commune";"Namur";"84,02";"2 914";35;"Doische, Gimnée, Gochenée, Matagne-la-Grande, Matagne-la-Petite, Niverlée, Romerée, Soulme, Vaucelles, Vodelée";
"Région wallonne";"Donceel";"Donceel";"Commune";"Liège";"23,31";"2 883";124;"Donceel, Haneffe, Jeneffe, Limont";
"Région wallonne";"Dour";"Dour";"Commune";"Hainaut";"33,32";"16 899";507;"Blaugies, Dour, Élouges, Wihéries";
"Région wallonne";"Durbuy";"Durbuy";"Ville";"Luxembourg";"156,61";"10 780";69;"Barvaux, Bende, Bomal, Borlon, Durbuy, Grandhan, Heyd, Izier, Septon, Tohogne, Villers-Sainte-Gertrude, Wéris";
"Région wallonne";"Écaussinnes";"Écaussinnes";"Commune";"Hainaut";"34,77";"10 373";298;"Écaussinnes-d'Enghien, Écaussinnes-Lalaing, Marche-lez-Écaussinnes";
"Région wallonne";"Éghezée";"Éghezée";"Commune";"Namur";"102,81";"14 742";143;"Aische-en-Refail, Bolinne, Boneffe, Branchon, Dhuy, Éghezée, Hanret, Leuze, Liernu, Longchamps, Mehaigne, Noville-sur-Mehaigne, Saint-Germain, Taviers, Upigny, Waret-la-Chaussée";
"Région wallonne";"Ellezelles";"Elzele";"Commune";"Hainaut";"44,69";"5 784";129;"Ellezelles, Lahamaide, Wodecq";
"Région wallonne";"Enghien";"Edingen";"Ville";"Hainaut";"40,59";"12 481";307;"Enghien, Marcq, Petit-Enghien";
"Région wallonne";"Engis";"Engis";"Commune";"Liège";"27,74";"5 769";208;"Clermont-sous-Huy, Éhein-bas, Engis, Hermalle-sous-Huy";
"Région wallonne";"Érezée";"Érezée";"Commune";"Luxembourg";"78,44";"2 929";37;"Amonines, Érezée, Mormont, Soy";
"Région wallonne";"Erquelinnes";"Erquelinnes";"Commune";"Hainaut";"44,23";"9 607";217;"Bersillies-l'Abbaye, Erquelinnes, Grand-Reng, Hantes-Wihéries, Montignies-Saint-Christophe, Solre-sur-Sambre";
"Région wallonne";"Esneux";"Esneux";"Commune";"Liège";"34,05";"13 065";384;"Esneux, Tilff";
"Région wallonne";"Estaimpuis";"Steenput";"Commune";"Hainaut";"31,75";"9 872";311;"Bailleul, Estaimbourg, Estaimpuis, Évregnies, Leers-Nord, Néchin, Saint-Léger";
"Région wallonne";"Estinnes";"Estinnes";"Commune";"Hainaut";"72,73";"7 502";103;"Croix-lez-Rouveroy, Estinnes-au-Mont, Estinnes-au-Val, Faurœulx, Haulchin, Peissant, Rouveroy, Vellereille-les-Brayeux, Vellereille-le-Sec";
"Région wallonne";"Étalle";"Étalle";"Commune";"Luxembourg";"78,1";"5 469";70;"Buzenol, Chantemelle, Etalle, Sainte-Marie, Vance, Villers-sur-Semois";
"Région wallonne";"Eupen";"Eupen";"Ville";"Liège";"103,74";"18 408";177;"Eupen, Kettenis";
"Région wallonne";"Faimes";"Faimes";"Commune";"Liège";"28,48";"3 614";127;"Aineffe, Borlez, Celles, Les Waleffes, Viemme";
"Région wallonne";"Farciennes";"Farciennes";"Commune";"Hainaut";"10,39";"10 998";"1 059";"Farciennes, Pironchamps";
"Région wallonne";"Fauvillers";"Fauvillers";"Commune";"Luxembourg";"74,11";"2 116";29;"Fauvillers, Hollange, Tintange";
"Région wallonne";"Fernelmont";"Fernelmont";"Commune";"Namur";"65,61";"6 860";105;"Bierwart, Cortil-Wodon, Forville, Franc-Waret, Hemptinne, Hingeon, Marchovelette, Noville-les-Bois, Pontillas, Tillier";
"Région wallonne";"Ferrières";"Ferrières";"Commune";"Liège";"56,9";"4 533";80;"Ferrières, My, Vieuxville, Werbomont, Xhoris";
"Région wallonne";"Fexhe-le-Haut-Clocher";"Fexhe-le-Haut-Clocher";"Commune";"Liège";"19,25";"3 046";158;"Fexhe-le-Haut-Clocher, Freloux, Noville, Roloux, Voroux-Goreux";
"Région wallonne";"Flémalle";"Flémalle";"Commune";"Liège";"36,68";"24 963";681;"Awirs, Cahottes, Chokier, Flémalle, Flémalle-Grande, Flémalle-Haute, Gleixhe, Ivoz-Ramet, Mons-lez-Liège";
"Région wallonne";"Fléron";"Fléron";"Commune";"Liège";"13,72";"16 161";"1 178";"Fléron, Magnée, Retinne, Romsée";
"Région wallonne";"Fleurus";"Fleurus";"Ville";"Hainaut";"59,28";"22 267";376;"Brye, Fleurus, Heppignies, Lambusart, Saint-Amand, Wagnelée, Wanfercée-Baulet, Wangenies";
"Région wallonne";"Flobecq";"Vloesberg";"Commune";"Hainaut";23;"3 287";143;"Flobecq";
"Région wallonne";"Floreffe";"Floreffe";"Commune";"Namur";"38,89";"7 567";195;"Floreffe, Floriffoux, Franière, Soye";
"Région wallonne";"Florennes";"Florennes";"Commune";"Namur";"133,55";"10 882";81;"Corenne, Flavion, Florennes, Hanzinelle, Hanzinne, Hemptinne, Morialmé, Morville, Rosée, Saint-Aubin, Thy-le-Bauduin";
"Région wallonne";"Florenville";"Florenville";"Ville";"Luxembourg";"146,91";"5 446";37;"Chassepierre, Florenville, Fontenoille, Lacuisine, Muno, Sainte-Cécile, Villers-devant-Orval";
"Région wallonne";"Fontaine-l'Évêque";"Fontaine-l'Evêque";"Ville";"Hainaut";"28,41";"16 797";591;"Fontaine-l'Évêque, Forchies-la-Marche, Leernes";
"Région wallonne";"Fosses-la-Ville";"Fosses-la-Ville";"Ville";"Namur";"63,24";"9 476";150;"Aisemont, Fosses-la-Ville, Le Roux, Sart-Eustache, Sart-Saint-Laurent, Vitrival";
"Région wallonne";"Frameries";"Frameries";"Commune";"Hainaut";"25,95";"20 727";799;"Eugies, Frameries, La Bouverie, Noirchain, Sars-la-Bruyère";
"Région wallonne";"Frasnes-lez-Anvaing";"Frasnes-lez-Anvaing";"Commune";"Hainaut";"112,44";"11 064";98;"Anvaing, Arc-Wattripont, Buissenal, Cordes, Dergneau, Forest, Frasnes-lez-Buissenal, Hacquegnies, Herquegies, Montrœul-au-Bois, Moustier, Œudeghien, Saint-Sauveur";
"Région wallonne";"Froidchapelle";"Froidchapelle";"Commune";"Hainaut";"86,03";"3 599";42;"Boussu-lez-Walcourt, Erpion, Fourbechies, Froidchapelle, Vergnies";
"Région wallonne";"Gedinne";"Gedinne";"Commune";"Namur";"151,56";"4 458";29;"Bourseigne-Neuve, Bourseigne-Vieille, Gedinne, Houdremont, Louette-Saint-Denis, Louette-Saint-Pierre, Malvoisin, Patignies, Rienne, Sart-Custinne, Vencimont, Willerzie";
