code postal,insee,article,ville,ARTICLE,VILLE,libelle,region,nom region,dep,nom dep,longitude,latitude,codex,metaphone
1400,1093,,Châtillon-sur-Chalaronne,,CHATILLON-SUR-CHALARONNE,CHATILLON SUR CHALARONNE,82,RHONE-ALPES,1,Ain,46.120691,4.956525,C345,XTLNSRXLRN
1190,1094,,Chavannes-sur-Reyssouze,,CHAVANNES-SUR-REYSSOUZE,CHAVANNES SUR REYSSOUZE,82,RHONE-ALPES,1,Ain,46.430579,4.995244,C152,XFNSSRRSS
1250,1095,,Chavannes-sur-Suran,,CHAVANNES-SUR-SURAN,CHAVANNES SUR SURAN,82,RHONE-ALPES,1,Ain,46.263035,5.425759,C152,XFNSSRSRN
1660,1096,,Chaveyriat,,CHAVEYRIAT,CHAVEYRIAT,82,RHONE-ALPES,1,Ain,46.19578,5.060605,C163,XFRT
1510,1097,,Chavornay,,CHAVORNAY,CHAVORNAY,82,RHONE-ALPES,1,Ain,45.880279,5.71322,C165,XFRN
1300,1098,,Chazey-Bons,,CHAZEY-BONS,CHAZEY BONS,82,RHONE-ALPES,1,Ain,45.806173,5.683015,C215,XSPNS
1150,1099,,Chazey-sur-Ain,,CHAZEY-SUR-AIN,CHAZEY SUR AIN,82,RHONE-ALPES,1,Ain,45.892951,5.2552,C226,XSSRN
1510,1100,,Cheignieu-la-Balme,,CHEIGNIEU-LA-BALME,CHEIGNIEU LA BALME,82,RHONE-ALPES,1,Ain,45.826602,5.606853,C254,XNLPLM
1430,1101,,Chevillard,,CHEVILLARD,CHEVILLARD,82,RHONE-ALPES,1,Ain,46.110573,5.579817,C146,XFLRT
1190,1102,,Chevroux,,CHEVROUX,CHEVROUX,82,RHONE-ALPES,1,Ain,46.381735,4.947876,C162,XFRKS
1170,1103,,Chevry,,CHEVRY,CHEVRY,82,RHONE-ALPES,1,Ain,46.27925,6.03602,C160,XFR
1200,1104,,Chézery-Forens,,CHEZERY-FORENS,CHEZERY FORENS,82,RHONE-ALPES,1,Ain,46.2224064,5.866846,C261,XSRFRNS
1410,1104,,Chézery-Forens,,CHEZERY-FORENS,CHEZERY FORENS,82,RHONE-ALPES,1,Ain,46.222247,5.866665,C261,XSRFRNS
1390,1105,,Civrieux,,CIVRIEUX,CIVRIEUX,82,RHONE-ALPES,1,Ain,45.921275,4.882158,C162,SFRKS
1250,1106,,Cize,,CIZE,CIZE,82,RHONE-ALPES,1,Ain,46.205191,5.445835,C200,SS
1230,1107,,Cleyzieu,,CLEYZIEU,CLEYZIEU,82,RHONE-ALPES,1,Ain,45.908069,5.428772,C420,KLS
1270,1108,,Coligny,,COLIGNY,COLIGNY,82,RHONE-ALPES,1,Ain,46.38204,5.34516,C425,KLN
1550,1109,,Collonges,,COLLONGES,COLLONGES,82,RHONE-ALPES,1,Ain,46.13812,5.90367,C452,KLNJS
1300,1110,,Colomieu,,COLOMIEU,COLOMIEU,82,RHONE-ALPES,1,Ain,45.733235,5.624105,C450,KLM
1230,1111,,Conand,,CONAND,CONAND,82,RHONE-ALPES,1,Ain,45.892845,5.471015,C553,KNNT
1430,1112,,Condamine,,CONDAMINE,CONDAMINE,82,RHONE-ALPES,1,Ain,46.110151,5.551357,C535,KNTMN
1400,1113,,Condeissiat,,CONDEISSIAT,CONDEISSIAT,82,RHONE-ALPES,1,Ain,46.157875,5.07953,C532,KNTST
1200,1114,,Confort,,CONFORT,CONFORT,82,RHONE-ALPES,1,Ain,46.150891,5.82273,C516,KNFRT
1310,1115,,Confrançon,,CONFRANCON,CONFRANCON,82,RHONE-ALPES,1,Ain,46.267546,5.065595,C516,KNFRNKN
1300,1116,,Contrevoz,,CONTREVOZ,CONTREVOZ,82,RHONE-ALPES,1,Ain,45.805718,5.627745,C536,KNTRFS
1300,1117,,Conzieu,,CONZIEU,CONZIEU,82,RHONE-ALPES,1,Ain,45.72689,5.606045,C520,KNS
