RegAdm,Ville,NoAuto,Enseigne,AdrNumVoie,AdrComplement,AdrCommune,AdrCdPostal
MIDI-PYREN,MOISSAC,4-264.591, CONCORDE,19 BD DELBREL,,MOISSAC,82200
MIDI-PYREN,MIREPOIX,4-263.563,ESPACE CULTUREL ANDRE MALRAUX,14 RUE VIDAL LABLACHE,,MIREPOIX,9500
MIDI-PYREN,MIRANDE,4-263.372,CINE ASTARAC,RUE DESMONTS,,MIRANDE,32300
AQUITAINE,MIMIZAN,4-262.921,LE PARNASSE,3 AVENUE DE LA GARE,,MIMIZAN BOURG,40200
MIDI-PYREN,MILLAU,4-262.622,LES CINEMAS DE MILLAU,15 RUE DE LA CONDAMINE,,MILLAU,12100
LIMOUSIN,MEYMAC,4-261.351,LE SOUBISE,13 BD DU PRE SOUBISE,,MEYMAC,19250
POITOU-CHA,MESCHERS-SUR-GIRONDE,4-259.021,LA PASSERELLE (EX-SALLE MUNICIPALE),RUE PAUL MASSY,,MESCHERS SUR GIRONDE,17132
AQUITAINE,MERIGNAC,4-258.161,MERIGNAC CINE,PLACE CHARLES DE GAULLE,,MERIGNAC,33700
POITOU-CHA,MELLE,4-255.911,LE MELIES,PLACE BUJAULT,,MELLE,79500
MIDI-PYREN,MAZERES,4-254.173,CINEMAZ,RUE DE L' HOTEL DE VILLE,,MAZERES,9270
MIDI-PYREN,MAZAMET,4-254.005,CINEMA APOLLO,PLACE DU MARECHAL LECLERC,,MAZAMET,81200
MIDI-PYREN,MAUVEZIN,4-253.442,FOYER RURAL,PLACE DU FOIRAL,,MAUVEZIN,32120
AQUITAINE,MAULEON-LICHARRE,4-252.742,MAULE BAITHA,15 RUE ARNAUD DE MAYTIE,,MAULEON LICHARRE,64130
POITOU-CHA,MAULEON,4-252.701,CINE CASTEL,LE VIEUX CHATEAU,,MAULEON,79700
POITOU-CHA,MATHA,4-252.212,LE FORUM,RUE DES DOUVES,,MATHA,17160
MIDI-PYREN,MASSEUBE,4-251.922,SALLE MARIE VERMILLARD,14 AVENUE E DUFFFRECHOU,QUARTIER CHANTEGRENOUILLE,MASSEUBE,32140
POITOU-CHA,MARTHON,4-250.751,LE SILVERADO,LA CLE DES CHANTS,,MARTHON,16380
AQUITAINE,MARMANDE,4-248.254,PLAZA,32/36 BOULEVARD DE MARE,,MARMANDE,47200
AQUITAINE,MARMANDE,4-248.251,COMOEDIA,30/32 RUE LEOPOLD FAYE,,MARMANDE,47200
POITOU-CHA,MARENNES,4-246.763,L'ESTRAN,PLACE CARNOT,,MARENNES,17320
MIDI-PYREN,MARCIAC,4-245.883,CINE JIM 32,PLACE DU CHEVALIER D'ANTRAS,,MARCIAC,32230
MIDI-PYREN,LUZ-SAINT-SAUVEUR,4-237.793,MAISON DE LA VALLEE,CENTRE MERIDIEN,BP20,IBOS CEDEX,65421
PAYS-LOIRE,LUCON,4-235.771,ESPACE,BOULEVARD PHELIPON,,LUCON,85400
MIDI-PYREN,LOURDES,4-234.295,CINEMA BERNADETTE,6 AV MGR SCHOEPFER,,LOURDES,65100
MIDI-PYREN,LOURDES,4-234.273,LE PALAIS,SQUARE DU GENERAL DE GAULLE,,LOURDES,65100
POITOU-CHA,LOUDUN,4-233.802,CINEMA CORNAY,RUE DE L ABREUVOIR,,LOUDUN,86200
MIDI-PYREN,LOUDENVIELLE,4-233.742,L ARIXO,L'ARIXO,,LOUDENVIELLE,65510
AQUITAINE,LORMONT,4-233.144,ESPACE CULTUREL BOIS FLEURI,PLACE DU 8 MAI 1945,,LORMONT,33310
AQUITAINE,LIT-ET-MIXE,4-229.552,CINELIT,RUE DE L HOTEL DE VILLE,,LIT ET MIXE,40170
AQUITAINE,LINXE,4-228.991,CINELINX,ROUTE DE L'OCEAN,,LINXE,40260
LIMOUSIN,LIMOGES,4-228.370,GRAND ECRAN ESTER,RUE ARISTIDE BRIAND,,LIMOGES,87000
LIMOUSIN,LIMOGES,4-228.311,HORIZON GRANDS ECRANS,11 PLACE DENIS DUSSOUBS,,LIMOGES,87000
LIMOUSIN,LIMOGES,4-228.305,LIDO 2,3 AV CHARLES DE GAULLE,,LIMOGES,87000
AQUITAINE,LIBOURNE,4-225.444,GRAND ECRAN,56 AVENUE GALLIENI,,LIBOURNE,33500
POITOU-CHA,LHOMMAIZE,4-225.210,SALLE POLYVALENTE,MAIRIE,,LHOMMAIZE,86410
AQUITAINE,LESPARRE-MEDOC,4-223.612,MOLIERE,20 RUE DU PALAIS DE JUSTICE,,LESPARRE MEDOC,33340
AQUITAINE,LEON,4-222.841,CENTRE CULTUREL LEON,PLACE DU DOCTEUR DUFAU,,LEON,40550
AQUITAINE,LEOGNAN,4-222.821,ESPACE CULT G BRASSENS,13 RUE DU 9 MARS 1962,,LEOGNAN,33850
POITOU-CHA,LENCLOITRE,4-222.481,ETOILE,33 GRAND'RUE,,LENCLOITRE,86140
MIDI-PYREN,LEGUEVIN,4-222.030,TEMPO CINE,1 ROUTE DE TOULOUSE,,LEGUEVIN,31490
AQUITAINE,LEGE-CAP-FERRET,4-221.951,L OASIS,24 ROUTE DE BORDEAUX PETIT PIQUE,,ANDERNOS BAINS CIDEX III 4,33510
MIDI-PYREN,LECTOURE,4-221.712,LE SENECHAL,102 RUE NATIONALE,,LECTOURE,32700
MIDI-PYREN,LAVELANET,4-220.681,CASINO,RUE RENE CASSIN,,LAVELANET,9300
MIDI-PYREN,LAVAUR,4-220.603,ESPACE DES NOUVEAUTES,RUE SAINTE CECILE,,LAVAUR,81500
AQUITAINE,LARUNS,4-218.381,LOUIS JOUVET,1 AVENUE DE LA GARE,,LARUNS,64440
MIDI-PYREN,LANNEMEZAN,4-216.064,LE RIO,361 RUE THIERS,,LANNEMEZAN,65300
AQUITAINE,LANGON,4-215.621,RIO,16 ALLEE JEAN JAURES,,LANGON,33210
MIDI-PYREN,LALANNE-TRIE,4-212.871,LE LALANO,LE LALANO,,LALANNE TRIE,65220
AQUITAINE,LACANAU,4-209.844,L'ESCOURE,MAIRIE DE LACANAU,AVENUE DE LA LIBERATION,LACANAU,33680
AQUITAINE,LACANAU,4-209.842,FAMILIA CINE,RUE GABRIEL DUPUY,,LACANAU,33680
MIDI-PYREN,LABRUGUIERE,4-209.682,CENTRE CULTUREL,BOULEVARD GAMBETTA,,LABRUGUIERE,81290
AQUITAINE,LABOUHEYRE,4-209.494,LE LUT S,PLACE DE LA MAIRIE,,LABOUHEYRE,40210
MIDI-PYREN,LABEGE,4-209.151,GAUMONT,33 RUE DE L'OCCITANE,,LABEGE,31320
POITOU-CHA,JONZAC,4-204.891,FAMILIA,RUE SADI CARNOT,,JONZAC,17500
PAYS-LOIRE,JARD-SUR-MER,4-203.343,SALLE DES ORMEAUX,RUE DES ECHOLERES,,JARD SUR MER,85520
MIDI-PYREN,L ISLE-JOURDAIN,4-201.661,OLYMPIA,6 RUE JEAN BART,,L ISLE JOURDAIN,32600
MIDI-PYREN,L ISLE-EN-DODON,4-201.632,SALLE DES FETES,BLD DES MARTYRS DE MEILHAN,,L ISLE EN DODON,31230
PAYS-LOIRE,L ILE-D YEU,4-200.332,CINE ILAIS,RUE PETIT CHIRON  PORT JOINVILLE,,L ILE D YEU,85350
MIDI-PYREN,IBOS,4-199.951,MERIDIEN,ROUTE DE PAU,,IBOS,65420
AQUITAINE,HOURTIN,4-198.721,LOU HAPCHOT,8 RUE LACHANAU,,HOURTIN,33990
PAYS-LOIRE,LES HERBIERS,4-195.021,GRAND ECRAN, 1 RUE NEUVE,,LES HERBIERS,85500
AQUITAINE,HENDAYE,4-194.541,VARIETES,12 RUE DU THEATRE,,HENDAYE,64700
AQUITAINE,HASPARREN,4-191.591,HARITZ BARNE,7 RUE YATS,,HASPARREN,64240
AQUITAINE,LE HAILLAN,4-189.830,L'ENTREPOT DES JALLES,13 RUE GEORGES CLEMENCEAU,,LE HAILLAN,33180
AQUITAINE,HAGETMAU,4-189.661,AQUITAINE,1 RUE CARNOT,,HAGETMAU,40700
AQUITAINE,GUJAN-MESTRAS,4-188.933,GERARD PHILIPE,PLACE DU MARCHE   LA HUME,,GUJAN MESTRAS,33470
LIMOUSIN,GUERET,4-187.515,SENECHAL,1 RUE DU SENECHAL,,GUERET,23000
LIMOUSIN,GUERET,4-187.503,L ECRAN 23,AV FAYOLLE,,GUERET,23000
MIDI-PYREN,GRENADE,4-184.852,LE FOYER,MAIRIE AVENUE LAZARE CARNOT,,GRENADE SUR GARONNE,31330
MIDI-PYREN,GRAULHET,4-184.242,LES TEMPS MODERNES,PLACE HENRI MENOU,,GRAULHET,81300
MIDI-PYREN,GRAMAT,4-182.282,L ATELIER,AVENUE PAUL MAZET,,GRAMAT,46500
MIDI-PYREN,GOURDON,4-181.262,L'ATALANTE,4 BOULEVARD DES MARTYRS,,GOURDON,46300
MIDI-PYREN,GIMONT,4-177.663,CINEMA DE LA COMMUNAUTE DE COMMUNES,53 BOULEVARD DU NORD,,GIMONT,32130
POITOU-CHA,GENCAY,4-174.961,CINEMA DE GENCAY,PASSAGE DES 3 MARCHANDS,,GENCAY,86160
AQUITAINE,GARLIN,4-173.432,LE FAMILY,COURS DE LA REPUBLIQUE,,GARLIN,64330
MIDI-PYREN,GAILLAC,4-172.104,IMAG'IN CINEMA L'OLYMPIA,RUE JOSEPH RIGAL,,GAILLAC,81600
MIDI-PYREN,FRONTON,4-171.253,CINE FRONTON,36 RUE ALAIN DE FELGUIERES,,FRONTON,31620
POITOU-CHA,FOURAS,4-166.862,CASINO,PLACE BUGEAU,,FOURAS,17450
MIDI-PYREN,FOSSAT,4-165.929,SALLE MULTIMEDIA LE VERSAILLES,ASS.LE FOSSAT MEDIA CULTURE,MAIRIE PLACE DE LA MAIRIE,LE FOSSAT,9130
PAYS-LOIRE,FONTENAY-LE-COMTE,4-164.003,CINEMA LE RENAISSANCE,RUE DE L ANCIEN HOPITAL,,FONTENAY LE COMTE,85200
MIDI-PYREN,FOIX,4-162.213,CENTRE CULTUREL,20 AV DU GENERAL DE GAULLE,,FOIX,9000
MIDI-PYREN,FOIX,4-162.212,REX,PLACE DU 8 MAI 1945,,FOIX,9000
MIDI-PYREN,FLEURANCE,4-161.061,GRAND ANGLE,RUE DU MOULIN,,FLEURANCE,32500
MIDI-PYREN,FIGEAC,4-159.674,CHARLES BOYER,2 BD PASTEUR,,FIGEAC,46100
PAYS-LOIRE,LA FERRIERE,4-158.201,LE ROC,71 RUE NATIONALE,,LA FERRIERE,85280
AQUITAINE,EYSINES,4-154.921,JEAN RENOIR,RUE DE L HOTEL DE VILLE,,EYSINES,33320
LIMOUSIN,EYMOUTIERS,4-154.813,JEAN GABIN,AVENUE DE LA PAIX,,EYMOUTIERS,87120
LIMOUSIN,EVAUX-LES-BAINS,4-154.142,ALPHA,RUE DE RENTIERE,,EVAUX LES BAINS,23110
AQUITAINE,ETSAUT,4-153.840,MAISON DU PARC NATIONAL,ASS HAUTE APE HAUT DEBIT,MAIRIE,ETSAUT,64490
MIDI-PYREN,ESPALION,4-150.801,REX,10 BD DE GUIZARD,,ESPALION,12500
MIDI-PYREN,ENTRAYGUES-SUR-TRUYERE,4-147.471,CINEMA POUR TOUS,RUE DU CHATEAU,,ENTRAYGUES SUR TRUYERE,12140
LIMOUSIN,EGLETONS,4-146.013,L ESPLANADE 2,ESPLANADE CHARLES SPINASSE,,EGLETONS,19300
MIDI-PYREN,EAUZE,4-144.331,FOYER ARMAGNAC EAUZE,16 PLACE DE LA LIBERTE,,EAUZE,32800
AQUITAINE,EAUX-BONNES,4-144.303,CINEMA DE GOURETTE,GOURETTE,EAUX BONNES,GOURETTE,64440
AQUITAINE,EAUX-BONNES,4-144.302,CINEMA DU CASINO,AVENUE CASTELLANE,,EAUX BONNES,64440
LIMOUSIN,LE DORAT,4-141.321,LE CINEMA (EX LE SELECT),PLACE CHARLES DE GAULLE,,LE DORAT,87210
MIDI-PYREN,DECAZEVILLE,4-136.686,LA STRADA,ZONE INDUSTRIELLE DU CENTRE,,DECAZEVILLE,12300
AQUITAINE,DAX,4-136.666,LE GRAND CLUB,11 AVENUE DU SABLAR,,DAX,40100
AQUITAINE,CREON,4-127.821,MAX LINDER,RUE DOCTEUR FAUCHE,,CREON,33670
POITOU-CHA,LA CRECHE,4-127.501,HENRI GEORGES CLOUZOT,RUE DU CHAMPS DE FOIRE,,LA CRECHE,79260
LIMOUSIN,LA COURTINE,4-125.933,LE MARCHOIS,RUE DES DEUX FRERES,,LA COURTINE,23100
POITOU-CHA,LA COUARDE-SUR-MER,4-122.291,LA MALINE,LE MAIL,,LA COUARDE SUR MER,17670
POITOU-CHA,CONFOLENS,4-119.331,LE CAPITOLE,PLACE EMILE ROUX,,CONFOLENS,16500
MIDI-PYREN,CONDOM,4-119.181,CINE 32 GASCOGNE,RUE JEAN JAURES,,CONDOM,32100
MIDI-PYREN,COLOMIERS,4-117.341,CENTRAL,43 RUE DU CENTRE,,COLOMIERS,31770
POITOU-CHA,COGNAC,4-115.891,PATHE,57 AVENUE VICTOR HUGO,,COGNAC,16100
MIDI-PYREN,CIZOS,4-113.271,LE MAGNOAC,LE MAGNOAC,,CIZOS,65230
POITOU-CHA,CIVRAY,4-113.133,SALLE DE SPECTACLES,COMMUNE DE CIVRAY,12 PLACE DU GENERAL DE GAULLE,CIVRAY,86400
POITOU-CHA,CIVRAY,4-113.131,LE CINE-MALICE (EX-RENAISSANCE),7 RUE LOUIS XIII,,CIVRAY,86400
POITOU-CHA,CHEVANCEAUX,4-110.511,VARIETES,,,MONTLIEU LA GARDE,17210
POITOU-CHA,CHEF-BOUTONNE,4-108.592,FOYER CULTUREL,PLACE CAIL,,CHEF BOUTONNE,79110
POITOU-CHA,CHAUVIGNY,4-107.511,REX,10 RUE DE ST SAVIN,,CHAUVIGNY,86300
POITOU-CHA,CHATELLERAULT,4-105.375,LES 400 COUPS,4 RUE AIME RASSETEAU,,CHATELLERAULT,86100
POITOU-CHA,CHATELLERAULT,4-105.373,CINEA (EX-VOX),58 BOULEVARD BLOSSAC,,CHATELLERAULT,86100
LIMOUSIN,CHATEAUNEUF-LA-FORET,4-104.642,COLISEE,1 PLACE DU COLISEE,,CHATEAUNEUF LA FORET,87130
PAYS-LOIRE,CHATEAU-D OLONNE,4-104.143,CINEMA LA GARGAMOELLE,ALLEE DU PARC DE COUBERTIN,,CHATEAU D OLONNE,85180
POITOU-CHA,CHASSENEUIL-SUR-BONNIEURE,4-103.561,VOX,PLACE DE L EGLISE,,CHASSENEUIL SUR BONNIEURE,16260
PAYS-LOIRE,CHANTONNAY,4-099.051,LE SULLY,8 RUE TRAVOT,,CHANTONNAY,85110
PAYS-LOIRE,CHALLANS,4-094.743,CLUB,PLACE ST ANTOINE,,CHALLANS,85300
PAYS-LOIRE,CHALLANS,4-094.742,LE MARAIS,33 RUE CARNOT,,CHALLANS,85300
POITOU-CHA,CHALAIS,4-094.353,THEATRE MUNICIPAL,RUE VICTOR HUGO,,CHALAIS,16210
AQUITAINE,CESTAS,4-093.261,COMPLEXE LE REX,PLACE DU SOUVENIR,,CESTAS,33610
POITOU-CHA,CERIZAY,4-092.441,7EME ART,PLACE DE LA MAIRIE,,CERIZAY,79140
MIDI-PYREN,CAZERES,4-090.932,LES CAPUCINS,RUE DES CAPUCINS,,CAZERES,31220
MIDI-PYREN,CAZAUBON,4-090.763,ARMAGNAC,BARBOTAN LES THERMES,,CAZAUBON,32150
MIDI-PYREN,CAUTERETS,4-090.191,CASINO,ESPLANADE DES OEUFS,,CAUTERETS,65110
MIDI-PYREN,CAUSSADE,4-090.112,CINEMA THEATRE,32 RUE DES RECOLLETS,,CAUSSADE,82300
MIDI-PYREN,CASTRES,4-089.105,CINEMOVIDA LIDO, 24 QUAI MIREDAMES,,CASTRES,81100
AQUITAINE,CASTILLONNES,4-088.991,CINE 4,PLACE JASMIN,,CASTILLONNES,47330
AQUITAINE,CASTETS,4-088.751,KURSAAL,PLACE E LANDOUAT,,CASTETS,40260
MIDI-PYREN,CASTELSARRASIN,4-088.512,VOX,11 RUE DU COLLEGE,,CASTELSARRASIN,82100
MIDI-PYREN,CASTELMAUROU,4-088.111,LE MELIES,LE BEZINAT,,L UNION,31240
AQUITAINE,CASTELJALOUX,4-087.966,L'ODYSSEE,PLACE JOSE BES,,CASTELJALOUX,47700
MIDI-PYREN,CASTELGINEST,4-087.941,LE CASTELIA,17 RUE PONT FAURÉ,,CASTELGINEST,31780
MIDI-PYREN,CASTANET-TOLOSAN,4-087.772,M J C  CINE 113,20 AV DE TOULOUSE,,CASTANET TOLOSAN,31320
MIDI-PYREN,CARMAUX,4-086.534,LIDO,8 RUE CHANZY,,CARMAUX,81400
AQUITAINE,CARCANS,4-086.031,CENTRE CULTUREL DE L ESTRAN,123 AVENUE DE MAUBUISSON,,CARCANS MAUBUISSON,33121
MIDI-PYREN,CARBONNE,4-085.993,CINE CARBONNE,BOIS DE CASTRES,,CARBONNE,31390
AQUITAINE,CARBON-BLANC,4-085.981,FAVOLS,AVENUE VIGNAU-ANGLADE,,CARBON BLANC,33560
MIDI-PYREN,CAPVERN,4-085.861,CASINO,CASINO MUNICIPAL,,CAPVERN LES BAINS,65130
AQUITAINE,CAPTIEUX,4-085.851,CENTRE AUDIOVISUEL,PLACE DU FOIRAIL,,CAPTIEUX,33840
MIDI-PYREN,CAPDENAC-GARE,4-085.323,ATMOSPHERE,3 RUE ANATOLE FRANCE,,CAPDENAC GARE,12700
AQUITAINE,CAPBRETON,4-085.213,CINEMA DU CASINO,PLACE DE LA LIBERTE,,CAPBRETON,40130
AQUITAINE,CAPBRETON,4-085.211,RIO CINEMA,ALLEES MARINES,,CAPBRETON,40130
AQUITAINE,CANEJAN,4-084.441,CENTRE SIMONE SIGNORET,CHEMIN DU CASSIOT,,CESTAS,33610
AQUITAINE,CAMBO-LES-BAINS,4-082.961,L AIGLON,RUE ANNE DE NEUBOURG,,CAMBO LES BAINS,64250
MIDI-PYREN,CAMARES,4-082.741,LE TEMPLE,RUE DU BARRY,,CAMARES,12360
MIDI-PYREN,CAHORS,4-081.691,A B C I,24 RUE DES AUGUSTINS,,CAHORS,46000
MIDI-PYREN,CAHORS,4-081.673,LE QUERCY,871 RUE EMILE ZOLA,,CAHORS,46000
AQUITAINE,CADILLAC,4-081.311,SALLE LUX,PLACE DU CHATEAU,,CADILLAC,33410
POITOU-CHA,BUXEROLLES,4-080.391,MEGA CGR,ZAE DU PAS SAINT-JACQUES,AVENUE DES FRERES LUMIERE,BUXEROLLES,86180
AQUITAINE,LE BUISSON-DE-CADOUIN,4-078.542,LUX LOUIS DELLUC,PLACE DU GENERAL DE GAULLE,,LE BUISSON DE CADOUIN,24480
LIMOUSIN,BRIVE-LA-GAILLARDE,4-075.703,REX 1,3 BD DU GAL KOENIG,,BRIVE LA GAILLARDE,19100
LIMOUSIN,BRIVE-LA-GAILLARDE,4-075.694,MEGA CGR,"AVENUE J,F, KENNEDY",RTE DE TULLE-ESPACE DES 3 PROVIN,BRIVE LA GAILLARDE,19100
PAYS-LOIRE,BRETIGNOLLES-SUR-MER,4-073.371,LE FIEF,RUE DU FIEF,,BRETIGNOLLES SUR MER,85470
POITOU-CHA,BRESSUIRE,4-072.982,SAVOY,7 RUE ANATOLE FRANCE,,BRESSUIRE,79300
LIMOUSIN,BOURGANEUF,4-067.711,LE REGENT,PLACE DE L HOTEL DE VILLE,,BOURGANEUF,23400
MIDI-PYREN,BOULOGNE-SUR-GESSE,4-066.714,CINE LUMIERE,ROUTE DE SAINT GAUDENS,,BOULOGNE SUR GESSE,31350
LIMOUSIN,BORT-LES-ORGUES,4-064.352,LE 7 EME ART,PLACE MARMONTEL,,BORT LES ORGUES,19110
AQUITAINE,BORDEAUX,4-063.411,UTOPIA,5 PLACE CAMILLE JULLIAN,BP 166,BORDEAUX CEDEX,33036
AQUITAINE,BORDEAUX,4-062.871,MEGARAMA,7 QUAI DES QUEYRIES,,BORDEAUX-BASTIDE,33100
AQUITAINE,BORDEAUX,4-062.822,JEAN VIGO,6 RUE FRANKLIN,,BORDEAUX,33000
AQUITAINE,BORDEAUX,4-062.804,UGC CINE CITE,13-15 RUE GEORGES BONNAC,,BORDEAUX,33000
AQUITAINE,BORDEAUX,4-062.802,MEGA CGR LE FRANCAIS,ROND-POINT DE L' INTENDANCE,,BORDEAUX,33000
AQUITAINE,BLAYE,4-058.141,LE MONTEIL,13 RUE URBAIN ALBOUY,,BLAYE,33390
POITOU-CHA,BLANZAC-PORCHERESSE,4-057.851,SELECT,GRANDE RUE,,BLANZAC PORCHERESSE,16250
AQUITAINE,BLANQUEFORT,4-057.821,COLONNES,RUE DU DOCTEUR CASTERA,,BLANQUEFORT,33290
MIDI-PYREN,BLAGNAC,4-057.172,REX,11 RUE BACQUIE FONADE,,BLAGNAC,31700
MIDI-PYREN,BLAGNAC,4-057.141,MEGA CGR,ZAC DU GRAND NOBLE,ALLEE EMILE ZOLA,BLAGNAC,31700
AQUITAINE,BISCARROSSE,4-056.475,JEAN RENOIR SALLE ARLEQUIN,RUE DU 14 JUILLET,,BISCARROSSE,40600
AQUITAINE,BISCARROSSE,4-056.471,ATLANTIC,AVENUE DE LA COTE D'ARGENT,,BISCARROSSE PLAGE,40520
AQUITAINE,BIGANOS,4-055.532,CENTRE CULTUREL,RUE PIERRE DE COUBERTIN,,BIGANOS,33380
MIDI-PYREN,BIARS-SUR-CERE,4-054.931,ROBERT DOISNEAU,94 AVENUE DE LA REPUBLIQUE,,BIARS SUR CERE,46130
AQUITAINE,BIARRITZ,4-054.891,ROYAL,8 AV DU MARECHAL FOCH,,BIARRITZ,64200
AQUITAINE,BERGERAC,4-050.151,CYRANO,2 PLACE DES CARMES,,BERGERAC,24100
LIMOUSIN,BELLAC,4-047.645,LUX,3 AVENUE DE LA LIBERTE,,BELLAC,87300
AQUITAINE,BEGLES,4-046.862,LE FESTIVAL,151 BD ALBERT 1ER,,BEGLES,33130
MIDI-PYREN,BEAUMONT-DE-LOMAGNE,4-044.892,LES NOUVEAUX BLEUS,BOULEVARD DE VERDUN,,BEAUMONT DE LOMAGNE,82500
AQUITAINE,BAZAS,4-042.841,VOG,14 RUE DU PALAIS DE JUSTICE,,BAZAS,33430
AQUITAINE,BAYONNE,4-042.717,L'AUTRE CINEMA,3 QUAI AMIRAL SALA,,BAYONNE,64100
AQUITAINE,BAYONNE,4-042.681,L ATALANTE  EX UTOPIA,7 RUE DENIS ETCHEVERRY,,BAYONNE,64100
MIDI-PYREN,BAREGES,4-039.131,LE REFUGE,LE REFUGE,,BAREGES,65340
POITOU-CHA,BARBEZIEUX-SAINT-HILAIRE,4-038.772,LE CLUB,32 BD CHANZY,,BARBEZIEUX SAINT HILAIRE,16300
PAYS-LOIRE,BARBATRE,4-038.601,LE GOIS,18 ROUTE DU GOIS,,BARBATRE,85630
MIDI-PYREN,BARAQUEVILLE,4-038.501,CINEMA DE BARAQUEVILLE,PLACE RENE CASSIN,,BARAQUEVILLE,12160
MIDI-PYREN,BAGNERES-DE-LUCHON,4-035.872,REX,RUE LASSUS NESTIER,,BAGNERES DE LUCHON,31110
MIDI-PYREN,BAGNERES-DE-BIGORRE,4-035.861,LE MAINTENON,RUE ALFRED ROLLAND,,BAGNERES DE BIGORRE,65200
MIDI-PYREN,AX LES THERMES,4-034.482,CASINO,ALLEES DU COULOUBRET,,AX LES THERMES,9110
MIDI-PYREN,AUZIELLE,4-032.941,STUDIO 7,LE CHEMIN DES ECOLIERS,,AUZIELLE,31650
MIDI-PYREN,AUTERIVE,4-031.544,OUSTAL,PLACE DU 8 MAI 1945,,AUTERIVE,31190
MIDI-PYREN,AUREILHAN,4-030.950,AUDITORIUM DE L'ECLA,REGIE DE RECETTES MUNICIPALE,PLACE FRANCOIS MITTERAND,AUREILHAIN,65800
MIDI-PYREN,AUCH,4-029.123,CINE 32,73 AVENUE DE L'YSER,,AUCH,32000
MIDI-PYREN,AUCH,4-029.114,CINE 32 LAFAYETTE,17 RUE LAFAYETTE,,AUCH,32000
MIDI-PYREN,AUCH,4-029.113,CINE 32 ALSACE,3 AV D ALSACE,,AUCH,32000
MIDI-PYREN,AUCAMVILLE,4-029.062,JEAN MARAIS,RUE DES ECOLES,,AUCAMVILLE,31140
LIMOUSIN,AUBUSSON,4-028.991,COLBERT,GRANDE RUE,,AUBUSSON,23200
PAYS-LOIRE,AUBIGNY,4-028.661,LE CARFOUR,ROUTE DE NESMY,,NIEUL LE DOLENT,85430
AQUITAINE,ARUDY,4-026.132,ST MICHEL,RUE ST MICHEL,,ARUDY,64260
POITOU-CHA,ARGENTON-CHATEAU,4-023.491,LE COMMYNES,RUE DE LA FRERIE,,ARGENTON-LES-VALLEES,79150
LIMOUSIN,ARGENTAT,4-023.262,LE TURENNE,AVENUE  POINCARE,,ARGENTAT,19400
MIDI-PYREN,ARGELES-GAZOST,4-023.131,CASINO,2 PLACE DESPOURRINS,,ARGELES GAZOST,65400
AQUITAINE,ARCACHON,4-022.051,GRAND ECRAN,RUE JEHENNE,,ARCACHON,33120
AQUITAINE,ARCACHON,4-022.050,PALAIS DES CONGRES,BOULEVARD VEYRIER MONTAGNERES,,ARCACHON,33120
AQUITAINE,ARCACHON,4-022.042,OLYMPIA,21 A DU GENERAL DE GAULLE,,ARCACHON,33120
POITOU-CHA,ANGOULEME,4-019.491,MEGA CGR,30 RUE SAINT- ROCH,,ANGOULEME,16000
POITOU-CHA,ANGOULEME,4-019.464,CITE INTERN DE LA BANDE DESSINEE ET DE L'IMAGE (EX-CNBDI),121 ROUTE DE BORDEAUX,,ANGOULEME,16000
AQUITAINE,ANGLET,4-019.325,MONCINE,AVENUE DES BARTHES,,ANGLET,64600
AQUITAINE,ANDERNOS-LES-BAINS,4-018.322,REX,202 BIS BD DE LA REPUBLIQUE,,ANDERNOS LES BAINS,33510
AQUITAINE,AMBARES-ET-LAGRAVE,4-016.441,EVASION,PLACE DE LA REPUBLIQUE,,AMBARES ET LAGRAVE,33440
MIDI-PYREN,ALBI,4-014.121,TIVOLI,2 RUE PIERRE GILLES,,ALBI,81000
MIDI-PYREN,ALBI,4-014.114,SALLE MANUEL JOSE ARCE,P. DE L'AMITIE ENTRE LES PEUPLES,,ALBI,81000
MIDI-PYREN,ALBI,4-014.102,CINEMOVIDA LAPEROUSE,60 RUE SERE DE RIVIERES,,ALBI,81000
PAYS-LOIRE,AIZENAY,4-013.621,SALLE JEANNE D ARC,AV DE VERDUN,,AIZENAY,85190
POITOU-CHA,ILE-D AIX,4-013.321,REX,RUE MARENGO,,L'ILE D'AIX,17123
AQUITAINE,AIRE-SUR-L ADOUR,4-013.151,GALAXIE,16 AV DES PYRENEES,,AIRE SUR L ADOUR,40800
PAYS-LOIRE,L AIGUILLON-SUR-MER,4-012.572,LE GOELAND,RUE DU GL LECLERC ET RUE PASTEUR,,L AIGUILLON SUR MER,85460
AQUITAINE,AIGUILLON,4-012.562,THEOPHILE DE VIAU,PLACE DE LA MAIRIE,,AIGUILLON,47190
AQUITAINE,AGEN,4-011.581, CARNOT,78 CARNOT,,AGEN,47000
PAYS-LOIRE,SAINT-SEBASTIEN-SUR-LOIRE,3-720.950,CINEVILLE,ZONE DES GRIPOTS,RUE MARIE CURIE,SAINT SEBASTIEN SUR LOIRE,44230
CENTRE,VIERZON,3-720.650,CINE LUMIERE,RUE DE LA SOCIETE FRANCAISE,,VIERZON,18100
PAYS-LOIRE,SAINT-HERBLAIN,3-576.000,PATHE ATLANTIS,ZAC ATLANTIS,8 ALLEE LA PEROUSE,SAINT HERBLAIN,44800
H-NORMANDI,YVETOT,3-469.602,DRAKKAR,4 AV DU MARECHAL LECLERC,,YVETOT,76190
