RegAdm,Ville,NoAuto,Enseigne,AdrNumVoie,AdrComplement,AdrCommune,AdrCdPostal
ALSACE,GUEBWILLER,8-187.022,FLORIVAL,9-11 RUE DE L'ANCIEN HÔPITAL,,GUEBWILLER,68500
LORRAINE,FREYMING-MERLEBACH,8-170.435,MEGA KINE,ROUTE DE METZ,RN 3,FREYMING MERLEBACH,57800
LORRAINE,FORBACH,8-164.811,PARIS,AVENUE SAINT REMY,,FORBACH,57600
ALSACE,ERSTEIN,8-149.631,AMITIE,RUE JEAN PHILIPPE BAPST,,ERSTEIN,67150
ALSACE,DRULINGEN,8-143.373,SALLE POLYVALENTE,COMMUNE DE DRULINGEN,23 RUE DU GENERAL LECLERC,DRULINGEN,67320
ALSACE,DRULINGEN,8-143.371,CENTRAL,50 RUE DE DURSTEL,,DRULINGEN,67320
ALSACE,DORLISHEIM,8-141.410,L'ATALANTE,ZONE DE LOISIRS LE TRÈFLE,,DORLISHEIM,67120
ALSACE,COLMAR,8-116.803,COLISEE,19 RUE DU REMPART,,COLMAR,68000
LORRAINE,CHATEAU-SALINS,8-104.933,SALLE SAINT JEAN,2 RUE POINCARÉ,,CHATEAU SALINS,57170
ALSACE,CERNAY,8-092.542,ESPACE GRÜN,32 RUE GEORGES RISLER,,CERNAY,68700
ALSACE,BRUMATH,8-077.351,PATHE,6 RUE DES FRERES LUMIERE,,BRUMATH,67170
ALSACE,BENFELD,8-049.522,REX,6 RUE CLEMENCEAU,,BENFELD,67230
LORRAINE,AUDUN-LE-TICHE,8-029.563,CINE AUDUN,31 RUE LECLERC,,AUDUN LE TICHE,57390
LORRAINE,ARS-SUR-MOSELLE,8-025.571, UNION,"3, RUE DU MOULIN",,ARS SUR MOSELLE,57130
LORRAINE,AMNEVILLE,8-017.545,GAUMONT,CENTRE THERMAL ET TOURISTIQUE,RUE DE L'EUROPE,AMNEVILLE,57360
LORRAINE,AMNEVILLE,8-017.541,REX,PARC DE COULANGE,,AMNEVILLE,57360
ALSACE,ALTKIRCH,8-016.081,PALACE LUMIERE,"2, BOULEVARD CLÉMENCEAU",,ALTKIRCH,68130
PACA,SAINT-RAPHAEL,7-721.250,CINEMAS LIDO 1,POLE VICTOR HUGO,AVENUE VICTOR HUGO,SAINT RAPHAEL,83700
PACA,LE PONTET,7-721.200,CAPITOLE STUDIO,AVENUE DE SAINT TRONQUET,,PONTET,84130
PACA,MARTIGUES,7-720.250,MAJESTIC PALACE,ZAC DES PLAINES DE FIGUEROLLES,,MARTIGUES,13500
LANG-ROUSS,VILLENEUVE-LES-BEZIERS,7-720.200,MEGA CGR,AVENUE PIERRE BEREGOVOY,POLE MEDITERRANEE,VILLENEUVE LES BEZIERS,34420
PACA,TOULON,7-720.150,CINE LIBERTE,46 BOULEVARD MARECHAL LECLERC,,TOULON,83000
CORSE,PORTO VECCHIO,7-704.450,CENTRE CULTUREL,ESPACE JEAN PAUL DE ROCCA SERRA,,PORTO VECCHIO,20137
CORSE,ZONZA,7-470.161,A RUSCANA,STE LUCIE DE PORTO VECCHIO,ROUTE DE PINARELLO,ZONZA,20124
PACA,VITROLLES,7-463.723,LES LUMIERES,ARCADES DES CITEAUX,,VITROLLES,13127
PACA,VINON-SUR-VERDON,7-462.644,LE MOULIN DE SAINT ANDRE,ROUTE DE MANOSQUE,( PRES DU PONT ),VINON SUR VERDON,83560
PACA,VILLENEUVE LOUBET,7-458.159,LOUP CINE,THEATRE DE VERDURE,,VILLENEUVE LOUBET,6270
LANG-ROUSS,LE VIGAN,7-453.462, LE PALACE,3 RUE SOUS LE QUAI,,LE VIGAN,30120
CORSE,VICO,7-451.772,U SAMPIERU,U RINICCIU,,SAGONE,20118
PACA,VEYNES,7-450.871,LES VARIETES,AVENUE DES MARTYRS,,VEYNES,5400
LANG-ROUSS,VERNET-LES-BAINS,7-448.583,CASINO,,,VERNET LES BAINS,66820
PACA,VENCE,7-446.171,CASINO,30 AV HENRI ISNARD,,VENCE,6140
PACA,VARS,7-442.861,LE MELEZE,COURS G.ROHNER,IMMEUBLE POINT SHOW,VARS LES CLAUX,5560
PACA,VALREAS,7-441.352,REX,PLACE CARDINAL MAURY,,VALREAS,84600
LANG-ROUSS,VALRAS-PLAGE,7-441.346,PALAIS DE LA MER,BD DU COMMANDANT L HERMINIER,,VALRAS PLAGE,34350
PACA,LA VALETTE-DU-VAR,7-440.286,SALLE HENRI VERNEUIL,LA COUPIANE,ESPACE ALBERT CAMUS,LA VALETTE DU VAR,83160
PACA,VALBONNE,7-439.503,LES VISITEURS DU SOIR,QUARTIER DE LA VIGNASSE,,VALBONNE,6560
PACA,VALBONNE,7-439.502,SOPHIA ANTIPOLIS,190 RUE FREDERIC MISTRAL,,VALBONNE,6560
PACA,VAISON-LA-ROMAINE,7-439.293,FLORIAN,54 AV JULES FERRY,,VAISON LA ROMAINE,84110
LANG-ROUSS,UZES,7-438.631,CAPITOLE,11 RUE XAVIER SIGALON,,UZES,30700
PACA,UVERNET FOURS,7-438.461,CINEMA DE PRA LOU,PRA LOU,MAISON DE PRA LOUP,UVERNET FOURS,4400
PACA,TOULON,7-430.023,ARIEL,6 RUE FRANCOIS FABIE,,TOULON,83100
PACA,TOULON,7-430.021,ESPACE COMOEDIA,10 RUE ORVES,,TOULON,83100
PACA,TOULON,7-429.951,LE ROYAL,2 ET 4 RUE DU DOCTEUR,,TOULON,83100
PACA,TENDE,7-423.501,LE BEGO,AV DU 16 SEPTEMBRE 1947,,TENDE,6430
PACA,TARASCON,7-421.932,REX,46 RUE MONGE,,TARASCON,13150
PACA,SAINTE TULLE,7-418.651,LE CINEMATOGRAPHE,PLACE DE LA MAIRIE,,SAINTE TULLE,4220
PACA,SAINT-TROPEZ,7-418.631,LA RENAISSANCE,PLACE DES LICES,,SAINT TROPEZ,83990
PACA,SAINT-REMY-DE-PROVENCE,7-414.162,CINE PALACE,4 AV FAUCONNET,,SAINT REMY DE PROVENCE,13210
PACA,SAINT-RAPHAEL,7-413.792,LIDO,RUE AMIRAL BAUX,,SAINT RAPHAEL,83700
LANG-ROUSS,SAINT-PONS-DE-THOMIERES,7-412.415,CINE STAR,PLACE DU FOIRAIL,,SAINT PONS DE THOMIERES,34220
LANG-ROUSS,SAINT-PAUL-DE-FENOUILLET,7-409.463,FOYER RURAL,RUE GEORGES PEZIERES,,SAINT PAUL DE FENOUILLET,66220
PACA,SAINT-PAUL-LES-DURANCE,7-409.303,CINEMA LE MIDIC,PLACE JEAN SANTINI,,ST PAUL LEZ DURANCE,13115
CORSE,SAN NICOLAO,7-407.321,MORIANINCU,MORIANI PLAGE LIEU DIT SCALO,SANTA LUCIA DI MORIANI,SAN NICOLAO,20230
PACA,SAINTE-MAXIME,7-405.462,CINEMAS MARCEL PAGNOL,107 ROUTE DU PLAN DE LA TOUR,,SAINTE MAXIME,83120
PACA,SAINT-MARTIN-DE-CRAU,7-402.492,LE GALET,PLACE FRANCOIS MITTERRAND,,SAINT MARTIN DE CRAU,13310
PACA,SAINT-MANDRIER-SUR-MER,7-399.893,CINEMA MARC BARON,SQUARE MARC BARON,,SAINT MANDRIER,83430
LANG-ROUSS,SAINT-LAURENT-DE-CERDANS,7-396.771,LES TRAVAILLEURS SYNDIQUES,RUE JOSEPH NIVET,,SAINT LAURENT DE CERDANS,66260
CORSE,SAINT FLORENT,7-385.371, CINEMA DE PLEIN AIR SAN FIURENZU,ROUTE C D 81,,SAINT FLORENT,20217
PACA,SAINT ETIENNE DE TINEE,7-384.051,LE RIOUNET,AURON,CNE SAINT ETIENNE DE TINEE,ST ETIENNE DE TINEE,6660
PACA,SAINT-CYR-SUR-MER,7-381.260,CINEMA CASINO,ROUTE DE BANDOL,,SAINT CYR SUR MER,83270
LANG-ROUSS,SAINT-CHELY-D APCHER,7-378.232,REX,130 RUE THEOPHILE ROUSSEL,,ST CHELY D APCHER,48200
PACA,SAINT CHAFFREY,7-378.061,LE SERRE D AIGLE,CHANTEMERLE,,SAINT CHAFFREY,5330
PACA,SAINT BONNET EN CHAMPSAUR,7-376.802,SALLE ST LOUIS  CENTRAL,RUE DE LA TRESORERIE,,SAINT BONNET EN CHAMPSAUR,5500
LANG-ROUSS,SOURNIA,7-367.712,FOYER RURAL,,,SOURNIA,66730
LANG-ROUSS,SOMMIERES,7-365.434,LE VENISE,5 RUE COMPANE,,SOMMIERES,30250
PACA,SOLLIES-PONT,7-364.945,CINEMA LE RIO,AVENUE DES AIGUIERS,,SOLLIES PONT,83210
CORSE,SOLARO,7-364.632,BEL ARIA,PIELZA,,GHISONACCIA,20240
PACA,SIX-FOURS-LES-PLAGES,7-364.204,CINEMA DAUDET,AVENUE DE LATTRE DE TASSIGNY,,SIX FOURS LES PLAGES,83140
PACA,SISTERON,7-364.121,REX,11 BIS PLACE DE LA REPUBLIQUE,LES ARCADES,SISTERON,4200
LANG-ROUSS,SIGEAN,7-363.131,LES CORBIERES,PLACE DE LA LIBERATION,,SIGEAN,11130
LANG-ROUSS,SETE,7-362.034,LE COMOEDIA,6 RUE DU 8 MAI 1945,,SETE,34200
LANG-ROUSS,SETE,7-362.031, LE PLANET,24 AV VICTOR HUGO,,SETE,34200
CORSE,SARTENE,7-353.473,FRANCOIS TRUFFAUT,PLACE DE LA LIBERATION,,SARTENE,20100
CORSE,SARI SOLENZARA,7-352.881,CINEMA SOLENZARA,PORT DE PLAISANCE,,SARI SOLENZARA,20145
PACA,SANARY-SUR-MER,7-351.621,A B C,20 RUE DU GENERAL GALLIENI,,SANARY SUR MER,83110
PACA,SALON-DE-PROVENCE,7-351.052,ARCADES,6 PLACE GAMBETTA,,SALON DE PROVENCE,13300
PACA,SALON-DE-PROVENCE,7-351.045,JOUR DE FETE,89 BD ARISTIDE BRIAND,,SALON DE PROVENCE,13300
PACA,SALON-DE-PROVENCE,7-351.034,CLUB,32 ALLEES DE CRAPONNE,,SALON DE PROVENCE,13300
PACA,SALLE_LES_ALPES,7-350.542,LE CONCORDE,SERRE CHEVALIER,,SERRE CHEVALIER,5240
PACA,SALERNES,7-350.023,LA TOMETTE,QUARTIER LES PLANTIERS,,SALERNES,83690
LANG-ROUSS,SAILLAGOUSE,7-349.062,CULTURE ET LOISIRS,,,SAILLAGOUSE,66800
PACA,ROQUEBRUNE CAP MARTIN,7-342.652,PLEIN AIR,AVENUE JEAN GIOAN,,ROQUEBRUNE CAP MARTIN,6190
LANG-ROUSS,RIVESALTES,7-338.590,MEGA CGR,C.C ROUSSILLON NORD LITTORAL,,RIVESALTES,66600
PACA,RISOUL,7-338.342,CINEMA DE LA FORET BLANCHE,STATION DE RISOUL 1850,,RISOUL,5600
LANG-ROUSS,QUILLAN,7-329.941,LE FAMILIA,58 RUE VAYSSE BARTHELEMY,,QUILLAN,11500
PACA,PUY SAINT VINCENT,7-328.621,JEAN MARAIS,IMMEUBLE LE VOILE,,PUY SAINT VINCENT,5290
PACA,PUGET-SUR-ARGENS,7-327.073,LE CINEMA SALLE ROGER LEGRAND,SQUARE LYAUTEY,,PUGET SUR ARGENS,83480
CORSE,PRUNELLI DI FIUMORBO,7-326.741,EXCELSIOR,ABBAZIA,,PRUNELLI DI FIUMORBO,20243
CORSE,PROPRIANO,7-326.265,LE MEDITERRANEE,24 AVENUE NAPOLEON,,PROPRIANO,20110
CORSE,PROPRIANO,7-326.263,THEATRE DE PROPRIANO,PARC DES SPORTS SAN GUISEPPE,,PROPRIANO,20110
LANG-ROUSS,PRATS-DE-MOLLO-LA-PRESTE,7-324.212,LE NOUVEAU PALACE,15 RUE DU FAUBOURG,,PRATS DE MOLLO LA PRESTE,66230
PACA,LE PRADET,7-323.884,L ESPACE DES ARTS,,,LE PRADET,83220
LANG-ROUSS,PRADES,7-323.812,LIDO,174 AVENUE DU GENERAL DE GAULLE,,PRADES,66500
LANG-ROUSS,PORT-VENDRES,7-321.912,LE VAUBAN,PLACE CASTELLANE,,PORT VENDRES,66660
PACA,PORT-SAINT-LOUIS-DU-RHONE,7-321.854,GERARD PHILIPE,AV GABRIEL PERI,,PORT SAINT LOUIS DU RHONE,13230
PACA,PORT-DE-BOUC,7-321.343,LE MELIES,12 RUE DENIS PAPIN,,PORT DE BOUC,13110
LANG-ROUSS,PONT-SAINT-ESPRIT,7-320.783,ARIANE ASCARIDE,CENTRE PEPIN,,PONT SAINT ESPRIT,30130
LANG-ROUSS,PONTEILLA,7-319.981,VOX CINE,,,PONTEILLA,66300
LANG-ROUSS,PEZENAS,7-309.891,MOLIERE,1 PLACE LEDRU ROLLIN,,PEZENAS,34120
PACA,PEYPIN,7-309.260,SALLE JEAN MARIE BOURRELLY,COMMUNE DE PEYPIN,RUE DU COLLET,PEYPIN,13124
PACA,PERTUIS,7-308.231,LE LUBERON,RUE GIRAUD,,PERTUIS,84120
LANG-ROUSS,PERPIGNAN,7-307.543,CINEMOVIDA MEGA CASTILLET,ZAC MAS BALANDE,,PERPIGNAN,66000
