ID,id_client,Selection,osm_id,osm_type,poi_name,geo_lat,geo_lng,tbl_cat_poi,cat_name,address_1,postcode,town,ANN_NOM,CATEGORIE_LIBELLE,QUARTIER_LIBELLE,ANN_TELEPHONE,ANN_FAX,ANN_COURRIEL,ANN_SITEINTERNET,ANN_STATIONNEMENT,ANN_POINTADRESSE,ANN_GPS,ANN_ADDR_NUMERO,ANN_ADDR_SUFFIXE,ANN_ADDR_VOIETYPE,ANN_ADDR_NOMVOIE,ANN_ADDR_COMPLEMENTAIRE,ANN_ADDR_CODEPOSTAL,ANN_ADDR_VILLE,ANN_ADDR_CEDEX,ANN_AME_ACCESSIBILITEGENERALE,ANN_AME_TOILETTE,ANN_AME_ASCENSEUR,ANN_AME_PLACESTATIONNEMENT,ANN_AME_ACCESSIBILITESTATIONNEMENT,ANN_ACCES_PRECISION,ANN_ACCES_TRAM,ANN_ACCES_BUS,ANN_COMMENTAIRE,ANN_ENSAVOIRPLUS
699757,387,,598177163,1,Ecole maternelle Pauline Kergomard,43.6221832,3.8703673,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue du Colonel Marchand,34000,MONTPELLIER,Ecole maternelle Pauline-Kergomard,Ecoles maternelles,Montpellier Centre,04 67 63 33 71,,,,,NULL,NULL,5,NULL,rue Colonel Marchand,NULL,,34000,Montpellier,,,,,,,NULL,,,<p>Â </p>,NULL
699695,424,,601530050,1,Ecole Élémentaire Emile Combes,43.622777,3.8407087,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue Edmond Lautard,34000,MONTPELLIER,Ecole Élémentaire Emile Combes,Ecoles Élémentaires,Les Cévennes,04 67 63 28 45,,,,,NULL,NULL,20,NULL,rue Edmond Lautard,NULL,,34081,Montpellier,,,,,,,NULL,,,<p>Â </p>,NULL
699621,419,,601530049,1,Ecole maternelle Victor Duruy,43.6229323,3.8406872,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue Edmond Lautard,34000,MONTPELLIER,Ecole maternelle Victor-Duruy,Ecoles maternelles,Les Cévennes,04 67 63 73 90,,,,,NULL,NULL,20,NULL,rue Edmond Lautard,NULL,,34080,Montpellier,,,,,,,NULL,,,,NULL
699748,329,,590320614,1,Ecole maternelle Pablo Neruda,43.6230508,3.8184711,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue de Salamanque,34000,MONTPELLIER,Ecole maternelle Pablo-Neruda,Ecoles maternelles,Mosson,04 67 75 42 26,,,,,NULL,NULL,53,NULL,rue de Salamanque,NULL,,34080,Montpellier,,,,,,,NULL,,,,NULL
699656,81,,598501506,1,Ecole Élémentaire Simon Bolivar,43.623245,3.8176622,10410,#EDUCATION#ECOLE#PRIMAIRE,Avenue de Barcelone,34000,MONTPELLIER,Ecole Élémentaire Simon Bolivar,Ecoles Élémentaires,Mosson,04 67 75 34 69,,,,,NULL,NULL,300,NULL,avenue de Barcelone,NULL,,34080,Montpellier,,,,,,,NULL,,,<p>Â </p>,NULL
699572,334,,590325101,1,Ecole Élémentaire Antoine Balard,43.6235401,3.8185354,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue de Salamanque,34000,MONTPELLIER,Ecole Élémentaire Antoine Balard,Ecoles Élémentaires,Mosson,04 67 75 43 01,,,,,NULL,NULL,123,NULL,rue de Salamanque,NULL,,34080,Montpellier,,,,,,,NULL,,,<p>Â </p>,NULL
699519,331,,598500219,1,Ecole maternelle Madeleine Renaud,43.6238042,3.817673,10410,#EDUCATION#ECOLE#PRIMAIRE,Avenue de Barcelone,34000,MONTPELLIER,Ecole maternelle Madeleine-Renaud,Ecoles maternelles,Mosson,04 67 75 43 00,,,,,NULL,NULL,360,NULL,avenue de Barcelone,NULL,,34080,Montpellier,,,,,,,NULL,,,,NULL
699499,82,,598498327,1,Ecole Élémentaire Louisville,43.6251808,3.8155755,10410,#EDUCATION#ECOLE#PRIMAIRE,Avenue de Louisville,34000,MONTPELLIER,Ecole Élémentaire Louisville,Ecoles Élémentaires,Mosson,04 67 75 36 01,,,,,NULL,NULL,431,NULL,avenue de Louisville,NULL,,34080,Montpellier,,,,,,,NULL,,,<p>Â </p>,NULL
699518,337,,598497469,1,Ecole Élémentaire Heidelberg,43.6252468,3.8136014,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue de Liège,34000,MONTPELLIER,Ecole Élémentaire Heidelberg,Ecoles Élémentaires,Mosson,04 67 75 42 07,,,,,NULL,NULL,310,NULL,rue de Liège,NULL,,34080,Montpellier,,,,,,,NULL,,,<p>Â </p>,NULL
699719,328,,598498147,1,Ecole maternelle Martin Luther King,43.6253672,3.8153234,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue Charles Bonaparte,34000,MONTPELLIER,Ecole maternelle Martin-Luther-King,Ecoles maternelles,Mosson,04 67 75 35 25,,,,,NULL,NULL,65,NULL,rue Charles-Bonaparte,NULL,,34080,Montpellier,,,,,,,NULL,,,,NULL
699551,282,,598497565,1,Ecole maternelle Cervantes,43.6253789,3.8138428,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue Charles Bonaparte,34000,MONTPELLIER,Ecole maternelle Miguel-de-Cervantès,Ecoles maternelles,Mosson,04 67 75 42 11,,,,,NULL,NULL,91,NULL,rue Charles-Bonaparte,NULL,,34080,Montpellier,,,,,,,NULL,,,,NULL
699493,50,,595150753,1,Ecole maternelle Charlie Chaplin,43.6259647,3.8644375,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue de la Jalade,34000,MONTPELLIER,Ecole maternelle Charlie-Chaplin,Ecoles maternelles,Hôpitaux - Facultés,04 67 63 35 60,,,,,NULL,NULL,120,NULL,rue de la Jalade,NULL,,34090,Montpellier,,,,,,,NULL,,,,NULL
699774,54,,90269821,1,Ecole Élémentaire Sigmund Freud,43.6261169,3.8794493,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue des Tourterelles,34000,MONTPELLIER,Ecole Élémentaire Sigmund Freud,Ecoles Élémentaires,Hôpitaux - Facultés,04 67 72 42 53,,,,,NULL,NULL,2,NULL,rue des Tourterelles,NULL,,34090,Montpellier,,,,,,,NULL,,,"""<blockquote dir=""""ltr"""" style=""""MARGIN-RIGHT: 0px""""><p>Â </p></blockquote>""",NULL
699786,236,,90270740,1,Ecole maternelle Luis de Camoà«ns,43.6264586,3.8800716,10410,#EDUCATION#ECOLE#PRIMAIRE,Rue des Tourterelles,34000,MONTPELLIER,Ecole maternelle Luis-de-Camoens,Ecoles maternelles,Hôpitaux - Facultés,04 67 72 42 54,,,,,NULL,NULL,2,NULL,rue des Tourterelles,NULL,,34090,Montpellier,,,,,,,NULL,,,,NULL
