;"Code Insee";"Code postal";"Commune";"Population";"Superficie";"Densité"
2;34227;34160;"Restinclières";;;
2;34228;34220;"Rieussec";;;
2;34229;34220;"Riols";;;
2;34230;34520;"Les Rives";;;
2;34231;34650;"Romiguières";;;
2;34232;34460;"Roquebrun";;;
2;34233;34650;"Roqueredonde";;;
2;34234;34320;"Roquessels";;;
2;34235;34610;"Rosis";;;
2;34236;34380;"Rouet";;;
2;34237;34320;"Roujan";;;
2;34238;34190;"Saint-André-de-Buèges";;;
2;34239;34725;"Saint-André-de-Sangonis";;;
2;34240;34130;"Saint-Aunès";;;
2;34241;34230;"Saint-Bauzille-de-la-Sylve";;;
2;34242;34160;"Saint-Bauzille-de-Montmel";;;
2;34243;34190;"Saint-Bauzille-de-Putois";;;
2;34244;34670;"Saint-Brès";;;
2;34245;34360;"Saint-Chinian";;;
2;34246;34400;"Saint-Christol";;;
2;34247;34980;"Saint-Clément-de-Rivière";;;
2;34249;34160;"Saint-Drézéry";;;
2;34248;34270;"Sainte-Croix-de-Quintillargues";;;
2;34250;34390;"Saint-Étienne-d'Albagnan";;;
2;34251;34700;"Saint-Étienne-de-Gourgas";;;
2;34252;34260;"Saint-Étienne-Estréchoux";;;
2;34253;34520;"Saint-Félix-de-l'Héras";;;
2;34254;34725;"Saint-Félix-de-Lodez";;;
2;34255;34980;"Saint-Gély-du-Fesc";;;
2;34258;34480;"Saint-Geniès-de-Fontedit";;;
2;34256;34160;"Saint-Geniès-des-Mourgues";;;
2;34257;34610;"Saint-Geniès-de-Varensal";;;
2;34259;34680;"Saint-Georges-d'Orques";;;
2;34260;34610;"Saint-Gervais-sur-Mare";;;
2;34261;34150;"Saint-Guilhem-le-Désert";;;
2;34262;34725;"Saint-Guiraud";;;
2;34263;34160;"Saint-Hilaire-de-Beauvoir";;;
2;34264;34380;"Saint-Jean-de-Buèges";;;
2;34265;34160;"Saint-Jean-de-Cornies";;;
2;34266;34270;"Saint-Jean-de-Cuculles";;;
2;34267;34150;"Saint-Jean-de-Fos";;;
2;34268;34700;"Saint-Jean-de-la-Blaquière";;;
2;34269;34360;"Saint-Jean-de-Minervois";;;
2;34270;34430;"Saint-Jean-de-Védas";;;
2;34271;34390;"Saint-Julien";;;
2;34272;34400;"Saint-Just";;;
2;34273;34390;"Saint-Martin-de-l'Arçon";;;
2;34274;34380;"Saint-Martin-de-Londres";;;
2;34276;34270;"Saint-Mathieu-de-Tréviers";;;
2;34277;34520;"Saint-Maurice-Navacelles";;;
2;34278;34520;"Saint-Michel";;;
2;34279;34490;"Saint-Nazaire-de-Ladarez";;;
2;34280;34400;"Saint-Nazaire-de-Pézan";;;
2;34281;34230;"Saint-Pargoire";;;
2;34282;34570;"Saint-Paul-et-Valmalle";;;
2;34283;34520;"Saint-Pierre-de-la-Fage";;;
